dynamic_accuracy steamvr; 20211013-223229; x y z w i j k;  frequency = 150
3.924826383590698242e-01 -5.528011322021484375e-01 -1.635193109512329102e+00 9.996114810565140951e-01 -1.723765862871463536e-02 -2.146426795799068199e-02 -4.363230853175852943e-03 3.799025714397430420e-01 -5.398843884468078613e-01 -1.381912112236022949e+00 1.838364316114911995e-02 -1.233023288412721762e-02 9.993543566231837261e-01 -2.281110814700843328e-02
3.925753831863403320e-01 -5.525660514831542969e-01 -1.636565804481506348e+00 9.996151928808766352e-01 -1.722343306832231635e-02 -2.130599160132713374e-02 -4.342849034401788030e-03 3.798462450504302979e-01 -5.398876667022705078e-01 -1.383700728416442871e+00 1.835768671592525464e-02 -1.229561588924464079e-02 9.993684868318798431e-01 -2.230199999742330311e-02
3.919487595558166504e-01 -5.527518987655639648e-01 -1.638201117515563965e+00 9.996178537585341806e-01 -1.704510492885771486e-02 -2.131197030106610213e-02 -4.406860565060100564e-03 3.798562884330749512e-01 -5.399774909019470215e-01 -1.385594606399536133e+00 1.838121130147036056e-02 -1.221026316359415803e-02 9.993675049141399480e-01 -2.225770005363196871e-02
3.921921551227569580e-01 -5.526644587516784668e-01 -1.639657020568847656e+00 9.996164674197980382e-01 -1.706511217047886747e-02 -2.135312234562428135e-02 -4.442469193905329398e-03 3.796583116054534912e-01 -5.400560498237609863e-01 -1.387215971946716309e+00 1.842210482517891643e-02 -1.219306743788584751e-02 9.993551031342122748e-01 -2.238859531236642164e-02
3.923532068729400635e-01 -5.527350306510925293e-01 -1.641311764717102051e+00 9.996186363682619813e-01 -1.676837579952562135e-02 -2.147272581453806353e-02 -4.507532829377575156e-03 3.797151446342468262e-01 -5.402674674987792969e-01 -1.388868093490600586e+00 1.826491710377742966e-02 -1.207767439528497841e-02 9.993842277154685316e-01 -2.191784443586707390e-02
3.919005990028381348e-01 -5.527632236480712891e-01 -1.642390251159667969e+00 9.996226015814662080e-01 -1.650124674188821472e-02 -2.147485056962833080e-02 -4.603598042367146662e-03 3.798891603946685791e-01 -5.402672290802001953e-01 -1.390422701835632324e+00 1.822939373056593412e-02 -1.189200029893231446e-02 9.993902789175264090e-01 -2.168781650083669021e-02
3.923749625682830811e-01 -5.524772405624389648e-01 -1.644109606742858887e+00 9.996247630632431047e-01 -1.659866210724700655e-02 -2.129616251734829310e-02 -4.612693087261729268e-03 3.799020349979400635e-01 -5.403759479522705078e-01 -1.392032861709594727e+00 1.830322119082002097e-02 -1.188657117222305902e-02 9.993954029234439762e-01 -2.168625293761593936e-02
3.923072516918182373e-01 -5.525298118591308594e-01 -1.645720243453979492e+00 9.996234065476397035e-01 -1.654247863698271592e-02 -2.137855228028889137e-02 -4.727471731643414707e-03 3.800250589847564697e-01 -5.404781103134155273e-01 -1.393718123435974121e+00 1.824981791261734779e-02 -1.179010008395495711e-02 9.993991111522918525e-01 -2.151988995084440012e-02
3.922972679138183594e-01 -5.525752305984497070e-01 -1.647380352020263672e+00 9.996318064800525649e-01 -1.615634497877079315e-02 -2.126387465920774253e-02 -4.805167156980071248e-03 3.801495432853698730e-01 -5.405969023704528809e-01 -1.395079374313354492e+00 1.816388201880261496e-02 -1.169482950720566669e-02 9.993846273400133207e-01 -2.137218197031092240e-02
3.921893537044525146e-01 -5.525034070014953613e-01 -1.648864746093750000e+00 9.996281617975503186e-01 -1.643282821579176295e-02 -2.118280195445668146e-02 -4.979703750185561495e-03 3.803358376026153564e-01 -5.406690239906311035e-01 -1.396737813949584961e+00 1.808783832225728180e-02 -1.159014735818259846e-02 9.993851448782561375e-01 -2.141432903848449268e-02
